Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Cost of Revenue;Gross Profit;Operating Expenses;Selling, General & Administrative;Research & Development;Depreciation & Amortization;Operating Income (Loss);Non-Operating Income (Loss);Interest Expense, Net;Pretax Income (Loss), Adj.;Abnormal Gains (Losses);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
SAP.DE;858325;USD;2020;Q1;2020-03-31;2020-08-31;2021-04-28;1191000000;1191000000;7195530109;-2280809804;4914720305;-3563006705;-2390050332;-1159715096;;1351713599;-98206130;-44137586;1253507468;-16551595;1236955873;-342066298;894889575;;898199894;898199894
SAP.DE;858325;USD;2020;Q2;2020-06-30;2020-11-30;2021-07-21;1180000000;1180000000;7427965404;-2231702796;5196262607;-3784020896;-2475260713;-1276799159;;1412241712;41978878;101467333;1454220591;2219159;1456439749;-481497570;974942179;;953991938;953991938
SAP.DE;858325;USD;2020;Q3;2020-09-30;2021-02-11;2021-10-21;1180000000;1180000000;7634509593;-2206823048;5427686545;-3717369476;-2363368463;-1300261542;;1710317068;697444870;719641608;2407761939;9345994;2417107934;-488328234;1928779699;;1816627761;1816627761
SAP.DE;858325;USD;2020;Q4;2020-12-31;2021-05-14;2021-07-21;1225000000;1225000000;8915021205;-2271787055;6643234151;-3567700136;-2420385846;-1342039741;;3075534015;39530670;107887391;3115064684;8407287;3123471972;-897974201;2225497772;;2197930731;2197930731
SAP.DE;858325;USD;2021;Q1;2021-03-31;2021-04-28;2021-04-28;1215909091;1215909091;7651061032;-2270730779;5380330253;-4032837147;-2613027775;-1411372474;;1347493105;454387210;379660400;1801880315;-189227564;1612652750;-321807387;1290845363;;1254687229;1254687229
SAP.DE;858325;USD;2021;Q2;2021-06-30;2021-07-21;2021-07-21;1180000000;1180000000;8036569259;-2345050431;5691518827;-4498524520;-2917473523;-1575025917;;1192994307;988195063;1027972094;2181189371;-8419464;2172769908;-427805122;1744964785;;1632887648;1632887648
SAP.DE;858325;USD;2021;Q3;2021-09-30;2021-10-21;2021-10-21;1180000000;1180000000;8070184726;-2308461898;5761722828;-4304491517;-2854334145;-1532686653;;1457231310;588315877;569452041;2045547187;15326866;2060874054;-390245601;1670628452;;1656480575;1656480575
SAP.DE;858325;USD;2021;Q4;2021-12-31;2022-03-03;2021-07-21;1142408269;1142408269;9163865336;-2471478179;6692387158;-4998990030;-3363954729;-1617813204;;1693397129;559842517;593554538;2253239645;-3323966;2249915678;-599520950;1650394730;;1669701830;1669701830
SIE.DE;849707;USD;2020;Q2;2020-03-31;2020-09-01;2021-05-07;806335000;817364000;15207775068;-9677000428;5530774641;-4262641249;-2922193216;-1278767312;;1348303911;71269781;193018902;1419573692;;1419573692;-326626078;1092947613;-325861212;718469744;718469744
SIE.DE;849707;USD;2020;Q3;2020-06-30;2020-12-01;2021-08-05;806335000;817364000;14294832067;-9057762456;5237069610;-4034360880;-2774380304;-1197201822;;1239054324;245608101;203755600;1484662425;;1484662425;-450465083;1034197342;-443856793;593644694;593644694
SIE.DE;849707;USD;2020;Q4;2020-09-30;2021-03-03;2021-12-02;806335000;817364000;17216006585;-11238829469;5977177117;-4713393091;-3118193192;-1394739658;;1568346260;73845229;197942739;1642191489;;1642191489;-432720710;1209470779;928030517;2001275214;2001275214
SIE.DE;849707;USD;2021;Q1;2020-12-31;2021-04-26;2022-02-10;804761905;814457831;16780084570;-10435826883;6344257686;-4418322317;-2934815445;-1268851537;;2071423985;271896758;218232924;2343320743;;2343320743;-581954464;1761366278;27428181;1644498374;1644498374
SIE.DE;849707;USD;2021;Q2;2021-03-31;2021-05-07;2022-02-10;804761905;814457831;17665605541;-11352846180;6312759361;-4565894254;-3083830506;-1358687185;;1779981998;610342521;233674967;2390324519;;2390324519;-565196337;1825128182;1047800940;2722346318;2722346318
SIE.DE;849707;USD;2021;Q3;2021-06-30;2021-08-05;2021-08-05;804761905;814457831;19367594418;-12297248479;7070345938;-5113719210;-3539989281;-1468975143;;1999973536;57795743;269713469;2057769279;;2057769279;-399753891;1658015387;126428188;1630321594;1630321594
SIE.DE;849707;USD;2021;Q4;2021-09-30;2021-12-02;2021-08-05;803223000;813366337;20600633295;-13152817110;7447816184;-5593855573;-3813760490;-1709245241;;1913886292;256190585;281110087;2170076877;;2170076877;-676472268;1493604609;66144762;1367015526;1367015526
SIE.DE;849707;USD;2022;Q1;2021-12-31;2022-02-10;2022-02-10;803223000;813366337;18866309909;-11770143758;7096166150;-4882116566;-3354239374;-1430669436;;2247214582;551225154;235585854;2798439737;;2798439737;-727342735;2071097002;-17154309;1878968732;1878968732
VNA.DE;858328;USD;2020;Q1;2020-03-31;2020-08-31;2021-05-04;548611111;548611111;1033371254;-433762135;599609118;-186481304;;;-21296385;452079234;-94344092;-97433723;357735142;-6730982;351004160;-117516325;233487834;;226094789;217929335
VNA.DE;858328;USD;2020;Q2;2020-06-30;2020-11-30;2021-03-02;542031873;542031873;1032435132;-435706569;596728562;1844263525;;;-25221639;2471500358;-121592531;-123464879;2349907827;-10683401;2339224426;-790131175;1549093250;;1506579920;1498429696
VNA.DE;858328;USD;2020;Q3;2020-09-30;2021-03-02;2021-03-02;553404255;553404255;1072336091;-500711677;571624413;-41472852;;;-28271634;584825631;-122432533;-107829416;462393098;-7126321;455266777;-135750576;319516201;;312740354;303861659
VNA.DE;858328;USD;2020;Q4;2020-12-31;2021-04-26;2021-04-26;557616841;557616841;1119895847;-603971571;515924275;2118685369;;;-30632272;2697089915;-140328274;-115223696;2556761640;-21001564;2535760076;-852868364;1682891712;;1658784218;1638344520
VNA.DE;858328;USD;2021;Q1;2021-03-31;2021-05-04;2021-05-04;572439024;572439024;1209610090;-511758115;697851975;-194410230;;;-25551747;541287257;-86056357;-92564821;455230899;-3977394;451253505;-153551539;297701965;;291796136;282877130
VOW.DE;858327;USD;2020;Q1;2020-03-31;2020-08-31;2021-05-05;501295263;501295263;60748767775;-50564019590;10184748184;-9187238720;-7632492220;;;997509464;-244963607;-387307325;752545857;;752545857;-182067546;570478311;;577098949;447996507
VOW.DE;858327;USD;2020;Q2;2020-06-30;2020-11-30;2021-03-02;501295263;501295263;45240351491;-41196078176;4044273314;-6680980916;-6933197308;;;-2636707602;396497383;-743432594;-2240210218;;-2240210218;548488047;-1691722170;;-1635551708;-1769920266
VOW.DE;858327;USD;2020;Q3;2020-09-30;2021-03-02;2021-03-02;501295263;501295263;69341441000;-57160104882;12181336118;-8462798392;-8016527135;;;3718537725;494169480;-504683725;4212707206;;4212707206;-1000021455;3212685751;;3188152514;3016419857
VOW.DE;858327;USD;2020;Q4;2020-12-31;2021-01-28;2022-03-15;501295263;501295263;79426130722;-61232219150;18193911573;-9064161084;-9148899585;;;9129750488;1639888081;-69742288;10769638569;;10769638569;-2654110034;8115528535;;8122982604;7948972572
VOW.DE;858327;USD;2021;Q1;2021-03-31;2021-05-05;2021-05-05;501295263;501295263;75179991016;-60321408721;14858582295;-9057612422;-8423639816;;;5800969872;-420639618;-1046175327;5380330253;;5380330253;-1264329398;4116000854;;4073816365;3909899494
VOW.DE;858327;USD;2021;Q2;2021-06-30;2021-07-29;2021-05-05;501295263;501295263;81092524326;-66003966335;15088557991;-7201265987;-8447462315;;;7887292004;173580833;-284326619;8060872838;;8060872838;-1988410415;6072462423;;6017028562;5856756100
VOW.DE;858327;USD;2021;Q3;2021-09-30;2021-10-28;2021-07-29;501295263;501295263;66947518611;-56498315258;10449203352;-7447311939;-8603153481;;;3001891413;580814000;-485413528;3582705414;;3582705414;-186494039;3396211375;;3388559263;3229461474
VOW.DE;858327;USD;2021;Q4;2021-12-31;2022-03-15;2021-10-28;501295263;501295263;72628124386;-57164504603;15463619783;-9362113393;-9582923438;;;6101506391;671324459;624009225;6772830849;;6772830849;-2115900631;4656930218;;4707808133;4553756497
